id,trigger,conditions,script,text,options,notes
jc_gs_menu_4_2_t,DialogOptionSelected,"$option == jc_gs_menu_4
$global.jc_asm_guardianstart_upgrade_4 == 2
$global.jc_asm_guardianstart_canupgrade_3 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：护盾受到单位伤害产生的幅能降为{0.8。","1:jc_gs_menu_4_2_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_4_2_f,DialogOptionSelected,"$option == jc_gs_menu_4
$global.jc_asm_guardianstart_upgrade_4 == 2
$global.jc_asm_guardianstart_canupgrade_3 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：护盾受到单位伤害产生的幅能降为{0.8。没有足够的星币或升级数量达到上限，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_4_2_up,DialogOptionSelected,$option == jc_gs_menu_4_2_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_4 = 3
$global.jc_asm_guardianstart_needupdate = true",升级完成：护盾受到单位伤害产生的幅能降为{0.8。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_4_3,DialogOptionSelected,"$option == jc_gs_menu_4
$global.jc_asm_guardianstart_upgrade_4 == 3","SetShortcut jc_gs_menu ""ESCAPE""",移除升级：护盾受到单位伤害产生的幅能降为{0.8。警告：移除后若重新安装需要另外花费星币！,"1:jc_gs_menu_4_3_down:移除升级
2:jc_gs_menu_upgrade:取消",
jc_gs_menu_4_3_down,DialogOptionSelected,$option == jc_gs_menu_4_3_down,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_4 = 2
$global.jc_asm_guardianstart_needupdate = true",移除升级完成：护盾受到单位伤害产生的幅能降为{0.8。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_5_0_t,DialogOptionSelected,"$option == jc_gs_menu_5
$global.jc_asm_guardianstart_upgrade_5 == 0
$global.jc_asm_guardianstart_canupgrade_1 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：恢复{2}个大型复合挂载点并提高{20}装配点。","1:jc_gs_menu_5_0_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_5_0_f,DialogOptionSelected,"$option == jc_gs_menu_5
$global.jc_asm_guardianstart_upgrade_5 == 0
$global.jc_asm_guardianstart_canupgrade_1 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：恢复{2}个大型复合挂载点并提高{20}装配点。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_5_0_up,DialogOptionSelected,$option == jc_gs_menu_5_0_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_5 = 1
$global.jc_asm_guardianstart_needupdate = true",升级完成：恢复{2}个大型复合挂载点并提高{20}装配点。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_5_1_t,DialogOptionSelected,"$option == jc_gs_menu_5
$global.jc_asm_guardianstart_upgrade_5 == 1
$global.jc_asm_guardianstart_canupgrade_2 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：将复合挂载点升级为通用并提高{20}装配点。","1:jc_gs_menu_5_1_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_5_1_f,DialogOptionSelected,"$option == jc_gs_menu_5
$global.jc_asm_guardianstart_upgrade_5 == 1
$global.jc_asm_guardianstart_canupgrade_2 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：将复合挂载点升级为通用并提高{20}装配点。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_5_1_up,DialogOptionSelected,$option == jc_gs_menu_5_1_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_5 = 2
$global.jc_asm_guardianstart_needupdate = true",升级完成：将复合挂载点升级为通用并提高{20}装配点。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_5_2_t,DialogOptionSelected,"$option == jc_gs_menu_5
$global.jc_asm_guardianstart_upgrade_5 == 2
$global.jc_asm_guardianstart_canupgrade_3 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：将挂载点全部升级为通用并优化炮塔攻击角度。","1:jc_gs_menu_5_2_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_5_2_f,DialogOptionSelected,"$option == jc_gs_menu_5
$global.jc_asm_guardianstart_upgrade_5 == 2
$global.jc_asm_guardianstart_canupgrade_3 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：将挂载点全部升级为通用并优化炮塔攻击角度。没有足够的星币或升级数量达到上限，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_5_2_up,DialogOptionSelected,$option == jc_gs_menu_5_2_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_5 = 3
$global.jc_asm_guardianstart_needupdate = true",升级完成：将挂载点全部升级为通用并优化炮塔攻击角度。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_5_3,DialogOptionSelected,"$option == jc_gs_menu_5
$global.jc_asm_guardianstart_upgrade_5 == 3","SetShortcut jc_gs_menu ""ESCAPE""",移除升级：将挂载点全部升级为通用并优化炮塔攻击角度。警告：移除后若重新安装需要另外花费星币！,"1:jc_gs_menu_5_3_down:移除升级
2:jc_gs_menu_upgrade:取消",
jc_gs_menu_5_3_down,DialogOptionSelected,$option == jc_gs_menu_5_3_down,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_5 = 2
$global.jc_asm_guardianstart_needupdate = true",移除升级完成：将挂载点全部升级为通用并优化炮塔攻击角度。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_6_0_t,DialogOptionSelected,"$option == jc_gs_menu_6
$global.jc_asm_guardianstart_upgrade_6 == 0
$global.jc_asm_guardianstart_canupgrade_1 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：安装一队探矿无人机联队。","1:jc_gs_menu_6_0_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_6_0_f,DialogOptionSelected,"$option == jc_gs_menu_6
$global.jc_asm_guardianstart_upgrade_6 == 0
$global.jc_asm_guardianstart_canupgrade_1 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：安装一队探矿无人机联队。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_6_0_up,DialogOptionSelected,$option == jc_gs_menu_6_0_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_6 = 1
$global.jc_asm_guardianstart_needupdate = true",升级完成：安装一队探矿无人机联队。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_6_1_t,DialogOptionSelected,"$option == jc_gs_menu_6
$global.jc_asm_guardianstart_upgrade_6 == 1
$global.jc_asm_guardianstart_canupgrade_2 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：将内置无人机升级为萤火联队。","1:jc_gs_menu_6_1_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_6_1_f,DialogOptionSelected,"$option == jc_gs_menu_6
$global.jc_asm_guardianstart_upgrade_6 == 1
$global.jc_asm_guardianstart_canupgrade_2 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：将内置无人机升级为萤火联队。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_6_1_up,DialogOptionSelected,$option == jc_gs_menu_6_1_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_6 = 2
$global.jc_asm_guardianstart_needupdate = true",升级完成：将内置无人机升级为萤火联队。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_6_2_t,DialogOptionSelected,"$option == jc_gs_menu_6
$global.jc_asm_guardianstart_upgrade_6 == 2
$global.jc_asm_guardianstart_canupgrade_3 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：额外添加{2}个飞行甲板并提高{20}装配点。","1:jc_gs_menu_6_2_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_6_2_f,DialogOptionSelected,"$option == jc_gs_menu_6
$global.jc_asm_guardianstart_upgrade_6 == 2
$global.jc_asm_guardianstart_canupgrade_3 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：额外添加{2}个飞行甲板并提高{20}装配点。没有足够的星币或升级数量达到上限，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_6_2_up,DialogOptionSelected,$option == jc_gs_menu_6_2_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_6 = 3
$global.jc_asm_guardianstart_needupdate = true",升级完成：额外添加{2}个飞行甲板并提高{20}装配点。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_6_3,DialogOptionSelected,"$option == jc_gs_menu_6
$global.jc_asm_guardianstart_upgrade_6 == 3","SetShortcut jc_gs_menu ""ESCAPE""",移除升级：额外添加{2}个飞行甲板并提高{20}装配点。警告：移除后若重新安装需要另外花费星币！,"1:jc_gs_menu_6_3_down:移除升级
2:jc_gs_menu_upgrade:取消",
jc_gs_menu_6_3_down,DialogOptionSelected,$option == jc_gs_menu_6_3_down,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_6 = 2
$global.jc_asm_guardianstart_needupdate = true",移除升级完成：额外添加{2}个飞行甲板并提高{20}装配点。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_7_0_t,DialogOptionSelected,"$option == jc_gs_menu_7
$global.jc_asm_guardianstart_upgrade_7 == 0
$global.jc_asm_guardianstart_canupgrade_1 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：部分修复幅能管道。","1:jc_gs_menu_7_0_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_7_0_f,DialogOptionSelected,"$option == jc_gs_menu_7
$global.jc_asm_guardianstart_upgrade_7 == 0
$global.jc_asm_guardianstart_canupgrade_1 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：部分修复幅能管道。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_7_0_up,DialogOptionSelected,$option == jc_gs_menu_7_0_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_7 = 1
$global.jc_asm_guardianstart_needupdate = true",升级完成：部分修复幅能管道。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_7_1_t,DialogOptionSelected,"$option == jc_gs_menu_7
$global.jc_asm_guardianstart_upgrade_7 == 1
$global.jc_asm_guardianstart_canupgrade_2 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：完全修复幅能管道。","1:jc_gs_menu_7_1_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_7_1_f,DialogOptionSelected,"$option == jc_gs_menu_7
$global.jc_asm_guardianstart_upgrade_7 == 1
$global.jc_asm_guardianstart_canupgrade_2 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：完全修复幅能管道。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_7_1_up,DialogOptionSelected,$option == jc_gs_menu_7_1_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_7 = 2
$global.jc_asm_guardianstart_needupdate = true",升级完成：完全修复幅能管道。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_7_2_t,DialogOptionSelected,"$option == jc_gs_menu_7
$global.jc_asm_guardianstart_upgrade_7 == 2
$global.jc_asm_guardianstart_canupgrade_3 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：安装神经集成器并提高幅能容量。","1:jc_gs_menu_7_2_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_7_2_f,DialogOptionSelected,"$option == jc_gs_menu_7
$global.jc_asm_guardianstart_upgrade_7 == 2
$global.jc_asm_guardianstart_canupgrade_3 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：安装神经集成器并提高幅能容量。没有足够的星币或升级数量达到上限，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_7_2_up,DialogOptionSelected,$option == jc_gs_menu_7_2_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_7 = 3
$global.jc_asm_guardianstart_needupdate = true",升级完成：安装神经集成器并提高幅能容量。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_7_3,DialogOptionSelected,"$option == jc_gs_menu_7
$global.jc_asm_guardianstart_upgrade_7 == 3","SetShortcut jc_gs_menu ""ESCAPE""",移除升级：安装神经集成器并提高幅能容量。警告：移除后若重新安装需要另外花费星币！,"1:jc_gs_menu_7_3_down:移除升级
2:jc_gs_menu_upgrade:取消",
jc_gs_menu_7_3_down,DialogOptionSelected,$option == jc_gs_menu_7_3_down,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_7 = 2
$global.jc_asm_guardianstart_needupdate = true",移除升级完成：安装神经集成器并提高幅能容量。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_8_0_t,DialogOptionSelected,"$option == jc_gs_menu_8
$global.jc_asm_guardianstart_upgrade_8 == 0
$global.jc_asm_guardianstart_canupgrade_1 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：部分修复舰船结构和装甲。","1:jc_gs_menu_8_0_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_8_0_f,DialogOptionSelected,"$option == jc_gs_menu_8
$global.jc_asm_guardianstart_upgrade_8 == 0
$global.jc_asm_guardianstart_canupgrade_1 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{50,000}星币进行升级：部分修复舰船结构和装甲。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_8_0_up,DialogOptionSelected,$option == jc_gs_menu_8_0_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_8 = 1
$global.jc_asm_guardianstart_needupdate = true",升级完成：部分修复舰船结构和装甲。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_8_1_t,DialogOptionSelected,"$option == jc_gs_menu_8
$global.jc_asm_guardianstart_upgrade_8 == 1
$global.jc_asm_guardianstart_canupgrade_2 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：完全修复结构和装甲。","1:jc_gs_menu_8_1_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_8_1_f,DialogOptionSelected,"$option == jc_gs_menu_8
$global.jc_asm_guardianstart_upgrade_8 == 1
$global.jc_asm_guardianstart_canupgrade_2 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{200,000}星币进行升级：完全修复结构和装甲。没有足够的星币，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_8_1_up,DialogOptionSelected,$option == jc_gs_menu_8_1_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_8 = 2
$global.jc_asm_guardianstart_needupdate = true",升级完成：完全修复结构和装甲。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_8_2_t,DialogOptionSelected,"$option == jc_gs_menu_8
$global.jc_asm_guardianstart_upgrade_8 == 2
$global.jc_asm_guardianstart_canupgrade_3 == true","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：安装作战中心并提高电子战强度。","1:jc_gs_menu_8_2_up:确定升级
2:jc_gs_menu_upgrade:返回",
jc_gs_menu_8_2_f,DialogOptionSelected,"$option == jc_gs_menu_8
$global.jc_asm_guardianstart_upgrade_8 == 2
$global.jc_asm_guardianstart_canupgrade_3 == false","SetShortcut jc_gs_menu ""ESCAPE""","花费{1,000,000}星币进行升级：安装作战中心并提高电子战强度。没有足够的星币或升级数量达到上限，无法升级。",2:jc_gs_menu_upgrade:返回,
jc_gs_menu_8_2_up,DialogOptionSelected,$option == jc_gs_menu_8_2_up,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_8 = 3
$global.jc_asm_guardianstart_needupdate = true",升级完成：安装作战中心并提高电子战强度。,2:jc_gs_menu_upgrade:确认,
jc_gs_menu_8_3,DialogOptionSelected,"$option == jc_gs_menu_8
$global.jc_asm_guardianstart_upgrade_8 == 3","SetShortcut jc_gs_menu ""ESCAPE""",移除升级：安装作战中心并提高电子战强度。警告：移除后若重新安装需要另外花费星币！,"1:jc_gs_menu_8_3_down:移除升级
2:jc_gs_menu_upgrade:取消",
jc_gs_menu_8_3_down,DialogOptionSelected,$option == jc_gs_menu_8_3_down,"SetShortcut jc_gs_menu ""ESCAPE""
$global.jc_asm_guardianstart_upgrade_8 = 2
$global.jc_asm_guardianstart_needupdate = true",移除升级完成：安装作战中心并提高电子战强度。,2:jc_gs_menu_upgrade:确认,
,,,,,,
#标准任务线触发器,,,,,,
jc_mission_Comm,PickGreeting,Jc_asm_missionTrigger 1 $id score:9500,"ShowPersonVisual
Jc_asm_missionDialog 1 $id",,,
jc_mission_Object,OpenInteractionDialog,Jc_asm_missionTrigger 2 $id score:9500,"ShowDefaultVisual
Jc_asm_missionDialog 2 $id",,,
jc_mission_FleetHail,BeginFleetEncounter,Jc_asm_missionTrigger 3 $id score:9500,HailPlayer,,,
jc_mission_Fleet,OpenCommLink,Jc_asm_missionTrigger 3 $entity.id score:9500,"ShowDefaultVisual
Jc_asm_missionDialog 3 $entity.id",,,
jc_mission_Dialog,DialogOptionSelected,Jc_asm_missionTrigger 9 $option score:9000,Jc_asm_missionDialog 9 $option,,,
